sequence_pool	sequence#	sample_id	sample_name	stage_sex	stage2_age	stage3_host_sex_genotype	stage4_batch	stage5_host	stage6_post-infection_day	stage7_vitro-vivo	stage8_sampletype	stage9_host#	stage10_vitroOnly	stage11_NoVT	stage12_KOWT_ONLY	stage0d3_host_genotype
6plex	523	N035	IJ1	IJ	IJ	IJ	3	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
6plex	524	N036	IJ2	IJ	IJ	IJ	3	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
6plex	525	N032	IJ3	IJ	IJ	IJ	3	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
6plex	526	N031	IJ4	IJ	IJ	IJ	3	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
6plex	527	N033	IJ5	IJ	IJ	IJ	3	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
Mar_2020	s01	N001	IJ6	IJ	IJ	IJ	1	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
Mar_2020	s02	N002	IJ7	IJ	IJ	IJ	1	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
Mar_2020	s03	N003	IJ8	IJ	IJ	IJ	1	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
Mar_2020	s04	N004	IJ9	IJ	IJ	IJ	1	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
Mar_2020	s05	N005	IJ10	IJ	IJ	IJ	1	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
Mar_2020	s06	N006	IJ11	IJ	IJ	IJ	1	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
6plex	528	N034	IJ12	IJ	IJ	IJ	3	IJ	0	IJ	IJ	IJ	NA	IJ	NA	IJ
pool6	491	N087	KOL4-m4-1	JV	L4	KO	4	mouse	7	VI	KO_L4	KO_m4	NA	KO	KO	KO
pool6	494	N084	KOL4-m4-4	JV	L4	KO	4	mouse	7	VI	KO_L4	KO_m4	NA	KO	KO	KO
pool6	500	N082	KOL4-m5-2	JV	L4	KO	4	mouse	7	VI	KO_L4	KO_m5	NA	KO	KO	KO
pool6	502	N096	KOL4-m5-4	JV	L4	KO	4	mouse	7	VI	KO_L4	KO_m5	NA	KO	KO	KO
pool6	510	N093	KOL4-m6-4	JV	L4	KO	4	mouse	7	VI	KO_L4	KO_m6	NA	KO	KO	KO
pool6	513	N095	KOL4-m6-7	JV	L4	KO	4	mouse	7	VI	KO_L4	KO_m6	NA	KO	KO	KO
pool6	471	N081	WTL4-m1-5	JV	L4	WT	4	mouse	7	VI	WT_L4	WT_m1	NA	WT	WT	WT
pool6	473	N092	WTL4-m1-7	JV	L4	WT	4	mouse	7	VI	WT_L4	WT_m1	NA	WT	WT	WT
pool6	476	N086	WTL4-m2-2	JV	L4	WT	4	mouse	7	VI	WT_L4	WT_m2	NA	WT	WT	WT
pool6	479	N090	WTL4-m2-5	JV	L4	WT	4	mouse	7	VI	WT_L4	WT_m2	NA	WT	WT	WT
pool6	483	N091	WTL4-m3-1	JV	L4	WT	4	mouse	7	VI	WT_L4	WT_m3	NA	WT	WT	WT
pool6	490	N088	WTL4-m3-8	JV	L4	WT	4	mouse	7	VI	WT_L4	WT_m3	NA	WT	WT	WT
Mar_2020	s07	N007	KO5d-mF1-3	Female	AD	KO	2	mouse	5	VI	KO_5d_Fem	KO_m1	NA	KO	KO	KO
Mar_2020	s08	N008	KO5d-mF1-4	Female	AD	KO	2	mouse	5	VI	KO_5d_Fem	KO_m1	NA	KO	KO	KO
Mar_2020	s09	N011	KO5d-mF2-1	Female	AD	KO	2	mouse	5	VI	KO_5d_Fem	KO_m2	NA	KO	KO	KO
Mar_2020	s10	N012	KO5d-mF2-2	Female	AD	KO	2	mouse	5	VI	KO_5d_Fem	KO_m2	NA	KO	KO	KO
Mar_2020	s11	N015	KO5d-mF3-3	Female	AD	KO	2	mouse	5	VI	KO_5d_Fem	KO_m3	NA	KO	KO	KO
