trans_id	gene_id
Nippo_chrI.g1.t1	Nippo_chrI.g1
Nippo_chrI.g2.t1	Nippo_chrI.g2
Nippo_chrI.g2.t2	Nippo_chrI.g2
Nippo_chrI.g3.t2	Nippo_chrI.g3
Nippo_chrI.g3.t1	Nippo_chrI.g3
Nippo_chrI.g4.t1	Nippo_chrI.g4
Nippo_chrI.g4.t2	Nippo_chrI.g4
Nippo_chrI.g5.t1	Nippo_chrI.g5
Nippo_chrI.g5.t2	Nippo_chrI.g5
Nippo_chrI.g5.t3	Nippo_chrI.g5
Nippo_chrI.g5.t4	Nippo_chrI.g5
Nippo_chrI.g6.t1	Nippo_chrI.g6
Nippo_chrI.g7.t1	Nippo_chrI.g7
Nippo_chrI.g8.t1	Nippo_chrI.g8
Nippo_chrI.g9.t1	Nippo_chrI.g9
Nippo_chrI.g10.t1	Nippo_chrI.g10
Nippo_chrI.g11.t1	Nippo_chrI.g11
Nippo_chrI.g12.t2	Nippo_chrI.g12
Nippo_chrI.g12.t1	Nippo_chrI.g12
Nippo_chrI.g12.t3	Nippo_chrI.g12
Nippo_chrI.g13.t1	Nippo_chrI.g13
Nippo_chrI.g14.t1	Nippo_chrI.g14
Nippo_chrI.g15.t1	Nippo_chrI.g15
Nippo_chrI.g15.t2	Nippo_chrI.g15
Nippo_chrI.g15.t4	Nippo_chrI.g15
Nippo_chrI.g15.t5	Nippo_chrI.g15
Nippo_chrI.g15.t3	Nippo_chrI.g15
Nippo_chrI.g16.t1	Nippo_chrI.g16
Nippo_chrI.g17.t4	Nippo_chrI.g17
Nippo_chrI.g17.t1	Nippo_chrI.g17
Nippo_chrI.g17.t2	Nippo_chrI.g17
Nippo_chrI.g17.t3	Nippo_chrI.g17
Nippo_chrI.g18.t2	Nippo_chrI.g18
Nippo_chrI.g18.t1	Nippo_chrI.g18
Nippo_chrI.g19.t1	Nippo_chrI.g19
Nippo_chrI.g19.t2	Nippo_chrI.g19
Nippo_chrI.g20.t1	Nippo_chrI.g20
Nippo_chrI.g20.t3	Nippo_chrI.g20
Nippo_chrI.g20.t2	Nippo_chrI.g20
Nippo_chrI.g21.t2	Nippo_chrI.g21
Nippo_chrI.g21.t1	Nippo_chrI.g21
Nippo_chrI.g22.t2	Nippo_chrI.g22
Nippo_chrI.g22.t1	Nippo_chrI.g22
Nippo_chrI.g22.t3	Nippo_chrI.g22
Nippo_chrI.g23.t1	Nippo_chrI.g23
Nippo_chrI.g24.t1	Nippo_chrI.g24
Nippo_chrI.g24.t2	Nippo_chrI.g24
Nippo_chrI.g25.t2	Nippo_chrI.g25
Nippo_chrI.g25.t3	Nippo_chrI.g25
Nippo_chrI.g25.t1	Nippo_chrI.g25
Nippo_chrI.g25.t4	Nippo_chrI.g25
Nippo_chrI.g26.t1	Nippo_chrI.g26
Nippo_chrI.g26.t2	Nippo_chrI.g26
Nippo_chrI.g27.t1	Nippo_chrI.g27
Nippo_chrI.g28.t1	Nippo_chrI.g28
Nippo_chrI.g29.t1	Nippo_chrI.g29
Nippo_chrI.g29.t2	Nippo_chrI.g29
Nippo_chrI.g30.t1	Nippo_chrI.g30
Nippo_chrI.g31.t2	Nippo_chrI.g31
Nippo_chrI.g31.t3	Nippo_chrI.g31
Nippo_chrI.g31.t1	Nippo_chrI.g31
Nippo_chrI.g31.t4	Nippo_chrI.g31
Nippo_chrI.g32.t1	Nippo_chrI.g32
Nippo_chrI.g33.t1	Nippo_chrI.g33
Nippo_chrI.g33.t2	Nippo_chrI.g33
